Date,Open,High,Low,Close,Adj Close,Volume
24-12-2018,49.2159996,50.60599899,48.88299942,49.23350143,49.23350143,36360000
26-12-2018,49.8995018,52.42250061,49.63249969,52.39250183,52.39250183,46318000
27-12-2018,51.31000137,52.66699982,50.34999847,52.64500046,52.64500046,45996000
28-12-2018,52.97499847,53.21149826,52.09999847,52.33399963,52.33399963,34398000
31-12-2018,52.89149857,53.1495018,51.65200043,52.2480011,52.2480011,33110000
02-01-2019,51.36000061,53.03950119,51.26399994,52.73400116,52.73400116,31868000
03-01-2019,52.53350067,53.31299973,51.11849976,51.27349854,51.27349854,41960000
04-01-2019,52.12799835,54,51.8429985,53.9034996,53.9034996,46022000
07-01-2019,54.04850006,54.13499832,53.13199997,53.79600143,53.79600143,47446000
08-01-2019,54.29999924,54.66749954,53.41749954,54.26850128,54.26850128,35414000
09-01-2019,54.3995018,54.58200073,53.71849823,54.08250046,54.08250046,26998000
10-01-2019,53.74700165,53.9905014,53.23400116,53.94150162,53.94150162,26598000
11-01-2019,53.49499893,53.66849899,52.82149887,53.2234993,53.2234993,30864000
14-01-2019,52.66699982,52.92250061,52.42750168,52.57550049,52.57550049,28490000
15-01-2019,52.90050125,54.41350174,52.72200012,54.32550049,54.32550049,37518000
16-01-2019,54.5,55.11800003,54.40050125,54.4754982,54.4754982,38280000
17-01-2019,54.3995018,55.03499985,54.1629982,54.95600128,54.95600128,24896000
18-01-2019,55.42950058,55.90000153,54.9640007,55.36500168,55.36500168,44892000
22-01-2019,54.79999924,54.94850159,53.54449844,53.93149948,53.93149948,39632000
23-01-2019,54.3429985,54.64749908,53.37850189,54.22050095,54.22050095,25194000
24-01-2019,54.12549973,54.40000153,53.50099945,54.20000076,54.20000076,29114000
25-01-2019,54.71149826,55.16799927,54.59000015,55.07550049,55.07550049,23260000
28-01-2019,54.50350189,54.66849899,53.73049927,53.99300003,53.99300003,29334000
29-01-2019,54.05199814,54.23649979,53.30099869,53.50299835,53.50299835,19704000
30-01-2019,53.86800003,54.97600174,53.83200073,54.8995018,54.8995018,29452000
31-01-2019,55.61199951,56.38349915,55.26250076,56.29449844,56.29449844,40232000
01-02-2019,56.11449814,56.72000122,55.71250153,55.93099976,55.93099976,33116000
04-02-2019,55.95050049,57.11700058,55.87549973,57.07099915,57.07099915,78408000
05-02-2019,56.48149872,57.63850021,56.18000031,57.59349823,57.59349823,82296000
06-02-2019,57.46350098,57.70000076,55.91799927,56.14450073,56.14450073,48256000
07-02-2019,55.5909996,55.59949875,54.67950058,55.29550171,55.29550171,38298000
08-02-2019,54.74399948,55.25500107,54.7120018,55.11899948,55.11899948,21766000
11-02-2019,55.1875,55.67150116,55,55.10599899,55.10599899,18498000
12-02-2019,55.55049896,56.64300156,55.55049896,56.37900162,56.37900162,35036000
13-02-2019,56.65200043,57.14250183,56.29999924,56.43149948,56.43149948,28042000
14-02-2019,56.25,56.80649948,55.85449982,56.45999908,56.45999908,21106000
15-02-2019,56.96500015,56.96500015,55.83599854,55.98149872,55.98149872,27826000
19-02-2019,55.83200073,56.48199844,55.83200073,56.32550049,56.32550049,21980000
20-02-2019,56.44400024,56.54650116,55.58750153,56.02949905,56.02949905,24090000
21-02-2019,55.93899918,55.95750046,54.89899826,55.21049881,55.21049881,33272000
22-02-2019,55.48500061,55.86249924,55.02500153,55.82799911,55.82799911,29436000
25-02-2019,56.0965004,56.27000046,55.70550156,55.86650085,55.86650085,26208000
26-02-2019,55.71849823,56.3219986,55.33499908,56.1004982,56.1004982,35026000
27-02-2019,55.70050049,56.28649902,55.4280014,56.14450073,56.14450073,22092000
28-02-2019,55.95000076,56.69950104,55.92050171,56.32749939,56.32749939,27422000
01-03-2019,56.54999924,57.5,56.54999924,57.42599869,57.42599869,34086000
04-03-2019,57.72800064,58.27600098,56.91249847,57.67100143,57.67100143,35490000
05-03-2019,57.79999924,58.82450104,57.65100098,58.45949936,58.45949936,40094000
06-03-2019,58.58800125,58.73699951,58.15250015,58.24700165,58.24700165,23602000
07-03-2019,58.02500153,58.17900085,57.08549881,57.54249954,57.54249954,30086000
08-03-2019,56.69499969,57.67250061,56.50999832,57.49850082,57.49850082,23694000
11-03-2019,57.59999847,58.99549866,57.57849884,58.96300125,58.96300125,30032000
12-03-2019,59.11500168,60.28549957,59.11500168,59.86249924,59.86249924,42220000
13-03-2019,60.29650116,60.35599899,59.89550018,59.95299911,59.95299911,25888000
14-03-2019,59.95100021,60.23500061,59.56150055,59.62649918,59.62649918,27302000
15-03-2019,59.90000153,60.08599854,59.3504982,59.51499939,59.51499939,51886000
18-03-2019,59.48450089,59.74750137,59.07400131,59.42750168,59.42750168,24442000
19-03-2019,59.58599854,60.17050171,59.47299957,60.1230011,60.1230011,29788000
20-03-2019,60.06999969,61.49950027,59.97949982,61.32149887,61.32149887,41508000
21-03-2019,61,61.8219986,60.82899857,61.80649948,61.80649948,28150000
22-03-2019,61.44250107,61.68149948,60.29999924,60.38249969,60.38249969,34422000
25-03-2019,59.97800064,60.47200012,59.5,59.86899948,59.86899948,27576000
26-03-2019,60.2594986,60.38249969,59.08800125,59.49200058,59.49200058,30752000
27-03-2019,59.59600067,59.59600067,58.21149826,58.90050125,58.90050125,29428000
28-03-2019,58.77500153,58.86249924,58.17150116,58.61349869,58.61349869,22402000
29-03-2019,59.00899887,59.19850159,58.31900024,58.8445015,58.8445015,30890000
01-04-2019,59.3769989,60.00999832,59.31800079,59.94900131,59.94900131,27706000
02-04-2019,60.00249863,60.29050064,59.56200027,60.27700043,60.27700043,18288000
03-04-2019,60.63499832,61.02999878,60.25400162,60.54050064,60.54050064,22180000
04-04-2019,60.5644989,61.02750015,60.45199966,60.97249985,60.97249985,21022000
05-04-2019,60.96500015,61.01950073,60.50149918,60.57249832,60.57249832,20012000
08-04-2019,60.55550003,60.69749832,60.23500061,60.41400146,60.41400146,21750000
09-04-2019,60.0945015,60.35749817,59.91899872,60.1344986,60.1344986,19668000
10-04-2019,60.25450134,60.4469986,60.03300095,60.32249832,60.32249832,15510000
11-04-2019,60.44499969,60.63700104,60.22700119,60.47949982,60.47949982,16998000
12-04-2019,60.78099823,61.15250015,60.66450119,61.13650131,61.13650131,24312000
15-04-2019,61.20449829,61.46500015,60.72800064,61.32649994,61.32649994,23796000
16-04-2019,61.5,61.79899979,61.2519989,61.59550095,61.59550095,22622000
